X-time;Y-g
20.8;0.0638
20.825;0.1253
20.85;0.0328
20.875;0.0695
20.9;0.0641
20.925;0.1089
20.95;0.0491
20.975;0.0948
21;0.0211
21.025;0.041
21.05;0.0511
21.075;0.0522
21.1;0.011
21.125;-0.0304
21.15;0.0026
21.175;-0.0285
21.2;-0.0151
21.225;-0.0621
21.25;-0.0619
21.275;-0.1022
21.3;-0.0627
21.325;-0.064
21.35;-0.0874
21.375;-0.1237
21.4;-0.0707
21.425;-0.0873
21.45;-0.0659
21.475;-0.0438
21.5;-0.0456
21.525;-0.0597
21.55;-0.0457
21.575;-0.011
21.6;0.0248
21.625;0.0078
21.65;-0.0049
21.675;0.0256
21.7;0.0664
21.725;0.055
21.75;0.0395
21.775;0.0367
21.8;0.1056
21.825;0.0781
21.85;0.084
21.875;0.0617
21.9;0.0368
21.925;0.1167
21.95;0.0947
21.975;0.0513
22;0.0107
22.025;0.0662
22.05;0.0412
22.075;0.0319
22.1;0.0224
22.125;0.0056
22.15;-0.0112
22.175;-0.0328
22.2;-0.0358
22.225;-0.0493
22.25;-0.0661
22.275;-0.0661
22.3;-0.1056
22.325;-0.068
22.35;-0.0865
22.375;-0.0833
22.4;-0.0838
22.425;-0.0632
22.45;-0.1031
22.475;-0.0722
22.5;-0.0328
22.525;-0.0198
22.55;-0.0322
22.575;-0.0091
22.6;-0.0513
22.625;0.0383
22.65;0.0241
22.675;0.0332
22.7;0.0574
22.725;0.0174
22.75;0.0658
22.775;0.0885
22.8;0.0598
22.825;0.0396
22.85;0.0827
22.875;0.0944
22.9;0.0762
22.925;0.0405
22.95;0.0723
22.975;0.0562
23;0.0622
23.025;0.0667
23.05;0.0211
23.075;0.0339
23.1;-0.0013
23.125;0.0206
23.15;0.0149
23.175;-0.0058
23.2;-0.0739
23.225;-0.0569
23.25;-0.0672
23.275;-0.0439
23.3;-0.0749
23.325;-0.1153
23.35;-0.068
23.375;-0.093
23.4;-0.0602
23.425;-0.1018
23.45;-0.0852
23.475;-0.04
23.5;-0.0239
23.525;-0.0915
23.55;-0.0275
23.575;0.0073
23.6;0.0277
23.625;-0.0534
23.65;0.0437
23.675;0.0385
23.7;0.0548
23.725;0.0607
23.75;0.0073
23.775;0.0735
23.8;0.0685
23.825;0.0791
23.85;0.0732
23.875;0.087
23.9;0.0566
23.925;0.0508
23.95;0.0676
23.975;0.0944
24;0.0863
24.025;0.0079
24.05;0.0151
24.075;0.0361
24.1;0.0239
24.125;0.0165
24.15;0.0089
24.175;-0.0504
24.2;-0.0488
24.225;-0.0575
24.25;-0.0354
24.275;-0.0558
24.3;-0.0817
24.325;-0.1074
24.35;-0.0932
24.375;-0.0893
24.4;-0.089
24.425;-0.036
24.45;-0.0736
24.475;-0.0879
24.5;-0.0376
24.525;-0.0303
24.55;-0.0289
24.575;-0.031
24.6;-0.0034
24.625;0.0223
24.65;0.0428
24.675;0.0116
24.7;0.0344
24.725;0.0362
24.75;0.0878
24.775;0.027
24.8;0.0807
24.825;0.0538
24.85;0.0868
24.875;0.0815
24.9;0.0842
24.925;0.0326
24.95;0.0976
24.975;0.0708
25;0.0325
25.025;0.0559
25.05;0.061
25.075;0.0057
25.1;0.0044
25.125;0.0077
25.15;0.0118
