X-time;Y-g 
23.575;0.986
23.6;0.2118
23.625;-0.8511
23.65;0.7127
23.675;-0.4934
23.7;0.2401
23.725;0.359
23.75;-0.8473
23.775;0.5887
23.8;0.4415
23.825;-0.1474
23.85;-0.9315
23.875;0.4258
23.9;0.4859
23.925;-0.1942
23.95;-0.4404
23.975;0.1213
24;0.3523
24.025;-0.2043
24.05;-0.3464
24.075;0.6105
24.1;-0.4633
24.125;-0.0977
24.15;0.2028
24.175;0.3372
24.2;-0.8603
24.225;-0.16
24.25;0.9116
24.275;-0.0872
24.3;-0.5492
24.325;-0.0411
24.35;0.4501
24.375;-0.461
24.4;0.3659
24.425;0.3737
24.45;-0.3702
24.475;-0.6394
24.5;0.8151
24.525;-0.0207
24.55;-0.2362
24.575;0.5919
24.6;-0.8113
24.625;0.2459
24.65;0.6384
24.675;-0.7439
24.7;0.2361
24.725;0.406
24.75;-0.2483
24.775;-0.1097
24.8;-0.0026
24.825;0.0471
24.85;0.3072
24.875;-0.1298
24.9;-0.3117
24.925;-0.0384
24.95;0.3541
24.975;-6e-04
25;-0.2996
25.025;0.0018
25.05;0.0696
25.075;-0.0734
25.1;-0.0131
25.125;0.1651
25.15;-0.1784
25.175;-0.0944
25.2;-0.3486
25.225;0.7076
25.25;0.0138
25.275;-0.7012
25.3;-0.1459
25.325;0.4304
25.35;0.6006
25.375;-0.5214
25.4;-0.2602
25.425;0.2555
25.45;-0.4394
25.475;0.5626
25.5;0.3982
25.525;-0.3012
25.55;-0.3295
25.575;0.0522
